Product_Description,Product_Link
 x Deepika Padukone Bootcut Jeans,https://www.levi.in/women/clothing/jeans/levis-x-deepika-padukone-bootcut-jeans/A14710010.html
 Women's  Flare Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-726-flare-jeans/A39400000.html
Levi’s Women's High-Waisted Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-high-waisted-jeans/A39510000.html
Women's Black Mile high Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-black-mile-high-super-skinny-jeans/526410122.html
 Women's  High Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-721-high-rise-skinny-jeans/244750101.html
 Women's  Skinny Fit Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-fit-jeans/213060535.html
 Women's  Skinny Fit Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-fit-jeans/213060532.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060500.html
 Women's  Shaping Bootcut Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-315-shaping-bootcut-jeans/219530018.html
  Super Skinny Fit Jeans,https://www.levi.in/women/clothing/jeans/levis-710-super-skinny-fit-jeans/213250236.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060465.html
Women's  Black High Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-721-black-high-rise-skinny-jeans/A14970001.html
 Women's High-Waisted Wide-Leg Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-high-waisted-wide-leg-jeans/A14710007.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250289.html
Levi’s Women's  Shaping Skinny Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-311-shaping-skinny-jeans/219440151.html
 Women's  Flare Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-726-flare-jeans/A41260000.html
 Women's  Straight Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-724-straight-jeans/676670039.html
Levi’s Women's High-Waisted Tapered Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-high-waisted-tapered-jeans/A39510001.html
 Women's High-Rise Straight Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-high-rise-straight-jeans/A14720009.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250292.html
Relaxed Fit Patterned resort shirt,https://www2.hm.com/en_in/productpage.0656677057.html
Relaxed Fit Pleated polo shirt,https://www2.hm.com/en_in/productpage.1156303001.html
Relaxed Fit Pleated polo shirt,https://www2.hm.com/en_in/productpage.1156303003.html
Relaxed Fit Printed T-shirt,https://www2.hm.com/en_in/productpage.1032522071.html
Relaxed Fit Patterned resort shirt,https://www2.hm.com/en_in/productpage.0656677058.html
Slim Fit Waffled polo shirt,https://www2.hm.com/en_in/productpage.1171307001.html
Relaxed Fit Linen resort shirt,https://www2.hm.com/en_in/productpage.1165059004.html
Slim Fit Joggers,https://www2.hm.com/en_in/productpage.0988366029.html
Relaxed Fit Short-sleeved Oxford shirt,https://www2.hm.com/en_in/productpage.1134949004.html
Oversized Fit Cotton T-shirt,https://www2.hm.com/en_in/productpage.1074658020.html
Relaxed Fit Short-sleeved Oxford shirt,https://www2.hm.com/en_in/productpage.1134949001.html
Relaxed Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.1160688006.html
Essentials No : THE LINEN SHIRT,https://www2.hm.com/en_in/productpage.1127523007.html
Regular Fit Terry polo shirt,https://www2.hm.com/en_in/productpage.1064274010.html
Regular Fit Linen-blend trousers,https://www2.hm.com/en_in/productpage.1064346013.html
Regular Fit Short-sleeved lyocell shirt,https://www2.hm.com/en_in/productpage.0703672028.html
Regular Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.0965257017.html
Regular Fit Round-neck T-shirt,https://www2.hm.com/en_in/productpage.0685816195.html
Regular Fit Linen-blend shorts,https://www2.hm.com/en_in/productpage.1054019011.html
